Check,Measured Value,Expected Value,Status
Original training-set size,60000,60000,PASS
Original test-set size,10000,10000,PASS
Training feature shape,"(50000, 784)","(50000, 784)",PASS
Training label shape,"(50000,)","(50000,)",PASS
Validation feature shape,"(10000, 784)","(10000, 784)",PASS
Validation label shape,"(10000,)","(10000,)",PASS
Test feature shape,"(10000, 784)","(10000, 784)",PASS
Test label shape,"(10000,)","(10000,)",PASS
Training plus validation size,60000,60000,PASS
Training: examples match labels,"50000 features, 50000 labels",Equal,PASS
Training: flattened image size,784,784,PASS
Training: feature dtype,float64,<class 'numpy.float64'>,PASS
Training: label dtype,int64,Integer dtype,PASS
Training: finite input values,True,True,PASS
Training: normalized range,"[0.0000, 1.0000]","[0.0, 1.0]",PASS
Training: class labels,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",PASS
Validation: examples match labels,"10000 features, 10000 labels",Equal,PASS
Validation: flattened image size,784,784,PASS
Validation: feature dtype,float64,<class 'numpy.float64'>,PASS
Validation: label dtype,int64,Integer dtype,PASS
Validation: finite input values,True,True,PASS
Validation: normalized range,"[0.0000, 1.0000]","[0.0, 1.0]",PASS
Validation: class labels,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",PASS
Test: examples match labels,"10000 features, 10000 labels",Equal,PASS
Test: flattened image size,784,784,PASS
Test: feature dtype,float64,<class 'numpy.float64'>,PASS
Test: label dtype,int64,Integer dtype,PASS
Test: finite input values,True,True,PASS
Test: normalized range,"[0.0000, 1.0000]","[0.0, 1.0]",PASS
Test: class labels,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",PASS
