Tensor,Actual Shape,Expected Shape,Status
X,"(32, 784)","(32, 784)",PASS
Z1,"(32, 128)","(32, 128)",PASS
A1,"(32, 128)","(32, 128)",PASS
logits,"(32, 10)","(32, 10)",PASS
probabilities,"(32, 10)","(32, 10)",PASS
W1,"(128, 784)","(128, 784)",PASS
b1,"(128,)","(128,)",PASS
W2,"(10, 128)","(10, 128)",PASS
b2,"(10,)","(10,)",PASS
Delta2,"(32, 10)","(32, 10)",PASS
Delta1,"(32, 128)","(32, 128)",PASS
dW1,"(128, 784)","(128, 784)",PASS
db1,"(128,)","(128,)",PASS
dW2,"(10, 128)","(10, 128)",PASS
db2,"(10,)","(10,)",PASS
