architecture,hidden_sizes,number_of_hidden_layers,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy
1_hidden_layer,[128],1,654571,1,0.8556026275991453,0.7721,0.3851605764142011,0.8895
1_hidden_layer,[128],1,654571,2,0.33390827047299115,0.90418,0.30670889049255895,0.9086
1_hidden_layer,[128],1,654571,3,0.2791958001520767,0.91984,0.2637709660619552,0.9237
1_hidden_layer,[128],1,654571,4,0.24258440103436035,0.93126,0.23124211518466758,0.9322
1_hidden_layer,[128],1,654571,5,0.21473247414831487,0.93896,0.2058382141924947,0.9418
1_hidden_layer,[128],1,654571,6,0.19267988663303165,0.94528,0.18544561017992192,0.9479
1_hidden_layer,[128],1,654571,7,0.17459082533793632,0.95016,0.174785406083075,0.951
1_hidden_layer,[128],1,654571,8,0.15910261859054367,0.9556,0.16692294420959253,0.9501
1_hidden_layer,[128],1,654571,9,0.14607036230310422,0.95894,0.15321286809723136,0.9556
1_hidden_layer,[128],1,654571,10,0.13456047512476982,0.9618,0.14064033352865832,0.9597
1_hidden_layer,[128],1,654571,11,0.12419527353641183,0.96594,0.1362439586941118,0.9612
1_hidden_layer,[128],1,654571,12,0.11529558522106885,0.96814,0.12692636178840838,0.9618
1_hidden_layer,[128],1,654571,13,0.10763668039176404,0.97044,0.12122246927453828,0.9658
1_hidden_layer,[128],1,654571,14,0.10071987318612592,0.97216,0.11877808589697245,0.9659
1_hidden_layer,[128],1,654571,15,0.09444014235075386,0.97336,0.111289976091576,0.9691
1_hidden_layer,[128],1,654571,16,0.08879389781027337,0.9755,0.11155985530868233,0.9683
1_hidden_layer,[128],1,654571,17,0.08369704125325425,0.97738,0.10559189364235211,0.9694
1_hidden_layer,[128],1,654571,18,0.07893637670740174,0.97858,0.0997041004682387,0.97
1_hidden_layer,[128],1,654571,19,0.07454941671110166,0.97982,0.09871344774392313,0.9714
1_hidden_layer,[128],1,654571,20,0.07084831602732712,0.98104,0.09520847920405995,0.9711
1_hidden_layer,[128],1,654571,21,0.06728943527277231,0.982,0.09394702823503522,0.9719
1_hidden_layer,[128],1,654571,22,0.06376575300035899,0.9829,0.09409933447639328,0.973
1_hidden_layer,[128],1,654571,23,0.06093598921704078,0.98352,0.09078849515432355,0.9726
1_hidden_layer,[128],1,654571,24,0.05792754401762556,0.98458,0.08992338904721517,0.9734
1_hidden_layer,[128],1,654571,25,0.0552276691826968,0.98542,0.08741981612040037,0.9741
1_hidden_layer,[128],1,654571,26,0.05281385600857812,0.98594,0.0854634642189691,0.9748
1_hidden_layer,[128],1,654571,27,0.05048471540074739,0.98696,0.08462238616724395,0.9745
1_hidden_layer,[128],1,654571,28,0.04818891230971657,0.98756,0.08802585649315108,0.9732
1_hidden_layer,[128],1,654571,29,0.04615072515516068,0.98808,0.08378376708431834,0.9749
1_hidden_layer,[128],1,654571,30,0.0441191598720748,0.989,0.08242534476401371,0.9756
1_hidden_layer,[128],1,654571,31,0.042302968008518085,0.98932,0.08149332063523179,0.9759
1_hidden_layer,[128],1,654571,32,0.04058409879236058,0.98978,0.0813813691718093,0.9759
1_hidden_layer,[128],1,654571,33,0.03889191661169232,0.99036,0.08041545069341655,0.9756
1_hidden_layer,[128],1,654571,34,0.037033756959656015,0.9914,0.07963902263458046,0.9753
1_hidden_layer,[128],1,654571,35,0.03589629888176822,0.99132,0.0782642374464798,0.9769
1_hidden_layer,[128],1,654571,36,0.03442020166573234,0.99192,0.08053759472235274,0.976
