learning_rate,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
0.001,654571,1,2.300140994499426,0.15208,2.297891699588454,0.2194
0.001,654571,2,2.295441822281869,0.30736,2.2929351488834246,0.3749
0.001,654571,3,2.289894603546607,0.40628,2.286790584664527,0.4124
0.001,654571,4,2.2828032647573235,0.41826,2.2787398226953273,0.4139
0.001,654571,5,2.273381192249266,0.41416,2.2679343451919958,0.4074
0.001,654571,6,2.260687058448437,0.40824,2.2533495955799996,0.3992
0.001,654571,7,2.2436007754289986,0.40196,2.2337936648579344,0.3957
0.001,654571,8,2.220860427392073,0.39682,2.2079860878788926,0.4035
0.001,654571,9,2.1911614287441763,0.41176,2.1745961426164864,0.4224
0.001,654571,10,2.1532375056549844,0.43462,2.132429636851088,0.452
0.001,654571,11,2.105937225103917,0.47094,2.0803793416356964,0.4919
0.001,654571,12,2.048241867459965,0.51438,2.017504119027961,0.5375
0.001,654571,13,1.9793814352982895,0.55942,1.9432638415083114,0.5872
0.001,654571,14,1.8992033363717675,0.60458,1.8579704832932409,0.6259
0.001,654571,15,1.8086474471731941,0.63748,1.7632476407913695,0.6509
0.001,654571,16,1.7100366110317773,0.66202,1.6621077061315155,0.6741
0.001,654571,17,1.6069543359768972,0.68186,1.5585133813845284,0.693
0.001,654571,18,1.5036186210452422,0.69788,1.4566811199826297,0.7091
0.001,654571,19,1.4040753723284116,0.71652,1.3602264936499406,0.7228
0.001,654571,20,1.3112607624716837,0.73276,1.271390068456248,0.7418
0.001,654571,21,1.2268475021271894,0.74818,1.191265228367121,0.7543
0.001,654571,22,1.1512234277595275,0.76434,1.1198541188716815,0.7648
0.001,654571,23,1.0840932997166246,0.77326,1.0564644767918132,0.7733
0.001,654571,24,1.0247122165178064,0.78256,1.0004294964398366,0.7819
0.001,654571,25,0.9721823910573973,0.79104,0.9508059614872348,0.7895
0.001,654571,26,0.9256584559791298,0.79802,0.9067910412259605,0.7978
0.001,654571,27,0.8843345134277124,0.80356,0.8675852298302347,0.8032
0.001,654571,28,0.8474545452738009,0.80878,0.8325805906973214,0.8085
0.001,654571,29,0.8144764976345507,0.81442,0.8011752721043973,0.8124
0.001,654571,30,0.7848124638026642,0.81858,0.7728461134018281,0.8164
0.001,654571,31,0.7580486644472443,0.82282,0.7472639751198575,0.82
0.001,654571,32,0.7337951870554077,0.82628,0.7239832589560808,0.8246
0.001,654571,33,0.7117357451904606,0.82952,0.7027633346747839,0.8281
0.001,654571,34,0.6915532871149509,0.83314,0.6835575154612659,0.8302
0.001,654571,35,0.6731460762357316,0.836,0.6656573616812028,0.834
0.001,654571,36,0.6561790521254773,0.8389,0.6491800335880161,0.8393
0.001,654571,37,0.6405574399649951,0.84198,0.6340640986515649,0.8418
0.001,654571,38,0.626087751719169,0.84452,0.6200504938608856,0.8443
0.001,654571,39,0.6126765682401343,0.84714,0.6069783443045795,0.8476
0.001,654571,40,0.6001780815563428,0.84942,0.5947716228948994,0.8509
0.001,654571,41,0.5885409913048362,0.8522,0.5834694409489084,0.8521
0.001,654571,42,0.577666354690357,0.8542,0.5728369225560178,0.8542
0.001,654571,43,0.5674673152780606,0.85588,0.5628301969785314,0.8585
