initialization,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
zero,654571,1,2.3015139389936414,0.11254,2.3017844562524554,0.1093
zero,654571,2,2.3012776278724223,0.11298,2.3017653029652445,0.1093
zero,654571,3,2.301262737892459,0.11298,2.3018227693850744,0.1093
zero,654571,4,2.3012968121185495,0.11298,2.3018377822887364,0.1093
zero,654571,5,2.3012973067238525,0.11298,2.301767179168278,0.1093
zero,654571,6,2.3013142930649058,0.11298,2.3017597233210707,0.1093
zero,654571,7,2.3012880377766836,0.11298,2.302019115814138,0.1093
zero,654571,8,2.3012848949413978,0.11298,2.301720407922602,0.1093
zero,654571,9,2.301285757643381,0.11298,2.301820712051093,0.1093
zero,654571,10,2.3012666666722814,0.11298,2.301812432915448,0.1093
zero,654571,11,2.301296729330409,0.11298,2.3017673530991125,0.1093
zero,654571,12,2.301287964672904,0.11298,2.3019687386660497,0.1093
zero,654571,13,2.3013284647339334,0.11298,2.301728396974721,0.1093
zero,654571,14,2.3012577137715673,0.11298,2.30176154054799,0.1093
zero,654571,15,2.3013034388395557,0.11298,2.3018219628676135,0.1093
zero,654571,16,2.3013180517861462,0.11298,2.3018571172498072,0.1093
zero,654571,17,2.301288484131505,0.11298,2.3018520138448846,0.1093
zero,654571,18,2.301272178090174,0.11298,2.3017391956573974,0.1093
zero,654571,19,2.3013133416130267,0.11298,2.301781519420693,0.1093
zero,654571,20,2.30123567338226,0.11298,2.30182201768391,0.1093
zero,654571,21,2.301273512793334,0.11298,2.301696029533198,0.1093
zero,654571,22,2.3012649140666954,0.11298,2.30193441983789,0.1093
zero,654571,23,2.30130769793865,0.11298,2.301821278054324,0.1093
zero,654571,24,2.3013225171527147,0.11298,2.3018178341758135,0.1093
zero,654571,25,2.3012748100625497,0.11298,2.3018441686937536,0.1093
zero,654571,26,2.301270748426722,0.11298,2.3019055741181327,0.1093
zero,654571,27,2.3013028699185156,0.11298,2.3017184590784048,0.1093
zero,654571,28,2.3012763795745075,0.11298,2.3018983119773324,0.1093
zero,654571,29,2.301302801415131,0.11298,2.3018978070039937,0.1093
zero,654571,30,2.3013194452204866,0.11298,2.301755809372714,0.1093
