activation,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy
relu,654571,1,0.8449972835041906,0.77042,0.38436853639459106,0.8892
relu,654571,2,0.3346232477635552,0.9046,0.31062578810357766,0.9067
relu,654571,3,0.2808923633018693,0.92006,0.264507783503996,0.925
relu,654571,4,0.24333098212667076,0.9316,0.23361795637248112,0.9325
relu,654571,5,0.21531605231285247,0.93986,0.2066099113763004,0.9405
relu,654571,6,0.19393331187991344,0.94584,0.18666271395572182,0.9463
relu,654571,7,0.17660543301985632,0.94988,0.17804857542089633,0.9497
relu,654571,8,0.16216144246267244,0.95466,0.17136749887990002,0.9498
relu,654571,9,0.1499693771007921,0.95812,0.15680049564904144,0.9553
relu,654571,10,0.1386814437516343,0.96054,0.14445187104601345,0.9579
relu,654571,11,0.12839549321920252,0.9647,0.14109303297902945,0.9594
relu,654571,12,0.11924316729667622,0.96676,0.1312244892392059,0.9624
relu,654571,13,0.11151553214815992,0.96958,0.12609061564123997,0.9634
relu,654571,14,0.10431540463786461,0.9708,0.12158920776502255,0.9653
relu,654571,15,0.09766444190273255,0.97268,0.11573885498168646,0.9668
relu,654571,16,0.09202564266716931,0.97444,0.11404057266316843,0.9677
relu,654571,17,0.08662454079926875,0.9765,0.10796106025326482,0.9685
relu,654571,18,0.08155241682913812,0.978,0.10376284493447022,0.9696
relu,654571,19,0.0770324482775352,0.9791,0.10204871589773666,0.9708
relu,654571,20,0.07298752636713354,0.98032,0.09698920291044082,0.9715
relu,654571,21,0.06946827577957917,0.98104,0.09671817293234941,0.9706
relu,654571,22,0.06569485150382835,0.98212,0.09572872179564688,0.9721
relu,654571,23,0.06265956597236626,0.98288,0.09306335572146766,0.9723
relu,654571,24,0.059603549921734146,0.98428,0.09137761572551244,0.9729
relu,654571,25,0.056662523716012485,0.98508,0.08947479391057642,0.9725
relu,654571,26,0.054211988935939835,0.98568,0.08754940693061139,0.9736
relu,654571,27,0.051736315104834445,0.9867,0.08645313405506101,0.9728
relu,654571,28,0.04939945652630473,0.98708,0.08961538812748017,0.9727
relu,654571,29,0.0473366474511844,0.98802,0.08447957927610306,0.9737
relu,654571,30,0.04516064840738867,0.98838,0.08260610942908062,0.9748
relu,654571,31,0.04337705443172589,0.98952,0.08115896664586682,0.9758
relu,654571,32,0.041447332281494866,0.98944,0.0812256446552806,0.9757
relu,654571,33,0.039850503199368476,0.99024,0.08009154059278242,0.9758
relu,654571,34,0.03805704252782812,0.99084,0.07846183256700168,0.9763
relu,654571,35,0.03679589567778403,0.9914,0.07785204570620063,0.9757
relu,654571,36,0.035173250541038086,0.9917,0.07922700655919913,0.9756
relu,654571,37,0.03372772808539674,0.99226,0.0775585940222946,0.9762
relu,654571,38,0.03250367836374921,0.9926,0.07995328987152164,0.9747
relu,654571,39,0.031362082801888055,0.99278,0.07599750544478437,0.9761
relu,654571,40,0.030029910523789203,0.9937,0.07513541681968415,0.9768
relu,654571,41,0.028952871417161494,0.99374,0.07508163338498117,0.9775
relu,654571,42,0.027915510847426307,0.9939,0.07523102135461533,0.9768
relu,654571,43,0.02685681359320376,0.99432,0.07535546905700076,0.9767
