training_size,seed,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
5000,654571,1,2.256179669559718,0.2912,2.138358968113727,0.4824
5000,654571,2,1.7618632510217884,0.619,1.3506749544791756,0.5976
5000,654571,3,0.9783409203542418,0.7696,0.7826865978185706,0.8017
5000,654571,4,0.6713495119178777,0.8294,0.7427868757163263,0.7622
5000,654571,5,0.549212725750954,0.8562,0.5551222902967906,0.8328
5000,654571,6,0.47596203470268794,0.8708,0.5379698279611105,0.8269
5000,654571,7,0.43293499242079625,0.8804,0.46869775778670136,0.8539
5000,654571,8,0.4010014989768409,0.8874,0.4305986132738001,0.8704
5000,654571,9,0.37781013054916346,0.8932,0.4222160752392446,0.8736
5000,654571,10,0.3597235192474718,0.8962,0.5223798875141306,0.8337
5000,654571,11,0.3512089747352304,0.898,0.39712511135575895,0.8798
5000,654571,12,0.3304968679891018,0.9036,0.38676888787415326,0.8804
5000,654571,13,0.3189747921897129,0.908,0.3588669477076483,0.8912
5000,654571,14,0.3083926704545522,0.9102,0.3566033397840373,0.8965
5000,654571,15,0.2972852632403417,0.915,0.6912617123117578,0.7808
5000,654571,16,0.30428367788218913,0.9132,0.33082215130136416,0.9025
5000,654571,17,0.2803944886180027,0.9198,0.36880349359086706,0.8839
5000,654571,18,0.27379715928470516,0.9212,0.3214873166786478,0.9023
5000,654571,19,0.2634469656408989,0.9268,0.325876744417093,0.9037
5000,654571,20,0.25588384283537247,0.9258,0.32444409375841726,0.9039
5000,654571,21,0.2508700219537129,0.927,0.3502240481989794,0.8913
5000,654571,22,0.2453162088189827,0.9296,0.37692452252249925,0.8852
5000,654571,23,0.2395764957286791,0.931,0.32361739380519683,0.9036
5000,654571,24,0.23128348325411238,0.9318,0.3414862603706763,0.8939
5000,654571,25,0.22583880494987876,0.9352,0.32291344251249027,0.9006
5000,654571,26,0.21937160681424128,0.9374,0.2993202213871951,0.9118
5000,654571,27,0.2129998643062496,0.9398,0.33528414337430884,0.8983
5000,654571,28,0.2093363452176212,0.9402,0.3587211972156586,0.8914
5000,654571,29,0.20658248709023613,0.94,0.41036565063914787,0.8733
5000,654571,30,0.20306715197592667,0.9426,0.2858756661135484,0.9136
5000,654571,31,0.19289242448149138,0.945,0.2963853647002172,0.9122
5000,654571,32,0.18772660353824497,0.9492,0.39847489149360954,0.8692
5000,654571,33,0.18617591988719207,0.9484,0.5293078292472335,0.8374
5000,654571,34,0.1871860595745286,0.9448,0.30589194665904196,0.9114
5000,654571,35,0.1752799912225302,0.9496,0.27632299883223105,0.9183
5000,654571,36,0.16897327792044084,0.9536,0.2724133271014596,0.9188
5000,654571,37,0.16304922134305022,0.9566,0.30339380153125883,0.9085
5000,654571,38,0.16200713932329958,0.9546,0.286929687336627,0.912
5000,654571,39,0.15634651402838778,0.9556,0.3171238646926877,0.9049
5000,654571,40,0.15443463155311432,0.957,0.27340663740439425,0.9178
5000,654571,41,0.15004177422562986,0.9582,0.48166051110878927,0.8487
5000,654571,42,0.1498974590781148,0.9584,0.2708729902407325,0.9203
5000,654571,43,0.14145893163519718,0.9616,0.47706503606629186,0.8519
5000,654571,44,0.1455949767637458,0.9586,0.27897517417854634,0.9168
5000,654571,45,0.1364436445952846,0.9616,0.2665241510064576,0.921
5000,654571,46,0.13177139961944945,0.9642,0.2642080977653016,0.921
5000,654571,47,0.12906385675922769,0.9652,0.2628505748961866,0.9215
5000,654571,48,0.12569705287694805,0.968,0.2854847823090111,0.9135
5000,654571,49,0.12375555144882477,0.967,0.25978912110748065,0.9219
5000,654571,50,0.1192808326808149,0.9698,0.26331032226546836,0.9213
5000,654571,51,0.11640256629258479,0.9696,0.26080442438539286,0.9224
5000,654571,52,0.11314110832492218,0.9706,0.29262408503856435,0.913
5000,654571,53,0.11274545903620456,0.9714,0.27647844963588947,0.9173
5000,654571,54,0.11026144333400288,0.9738,0.2604038560456009,0.9216
5000,654571,55,0.10603940797156429,0.9734,0.30240375444088125,0.9112
5000,654571,56,0.10755292889321143,0.973,0.2593382091945343,0.922
5000,654571,57,0.1010705316845566,0.9752,0.2585338562817882,0.9219
5000,654571,58,0.09890728856485333,0.9768,0.25780502098097313,0.9222
5000,654571,59,0.09653152350496809,0.9788,0.25992929241856,0.9219
5000,654571,60,0.0947402120379657,0.9786,0.5278212970421264,0.8509
5000,654571,61,0.10588574367552069,0.9754,0.3060030312061414,0.9059
5000,654571,62,0.09227366454266456,0.979,0.26626826531944026,0.9198
5000,654571,63,0.08869851591718965,0.9798,0.2575238501559055,0.9232
5000,654571,64,0.08600379915204479,0.9818,0.25788268431349753,0.9223
5000,654571,65,0.08413173380904408,0.9804,0.2577851149363749,0.9231
5000,654571,66,0.0824216308673152,0.982,0.2902385340745434,0.9114
5000,654571,67,0.0819486326681106,0.9828,0.2686501502270134,0.9203
5000,654571,68,0.07966436478982092,0.9822,0.2539111389917919,0.9261
5000,654571,69,0.0769210753575096,0.9852,0.2838772715956967,0.9154
5000,654571,70,0.07632117984375227,0.9838,0.2542294230186739,0.9242
5000,654571,71,0.07295606033648622,0.9864,0.25907598124657416,0.9225
5000,654571,72,0.07153765320465505,0.9864,0.2547466724654319,0.9248
5000,654571,73,0.06979775071152554,0.9874,0.26664157772095914,0.9194
5000,654571,74,0.06833595421398345,0.9878,0.25459426921860207,0.9251
5000,654571,75,0.06643729322497537,0.9894,0.25391210195278563,0.9254
5000,654571,76,0.06470348704847982,0.9892,0.27182520766012513,0.9216
5000,654571,77,0.06523627237027572,0.9884,0.2551512239978756,0.9256
5000,654571,78,0.06232810078773692,0.9894,0.27219483284765295,0.9187
5000,654571,79,0.062271876446947,0.99,0.2543875293528731,0.9266
5000,654571,80,0.059295496542020876,0.9902,0.2574209154343341,0.9258
5000,654571,81,0.05870077148028612,0.991,0.254971600874885,0.926
5000,654571,82,0.056761663144664645,0.9918,0.2741108401173407,0.9182
5000,654571,83,0.056527125681893574,0.99,0.2732225363978395,0.922
5000,654571,84,0.05515980442727515,0.9912,0.3205291770600922,0.9038
5000,654571,85,0.05946409387601799,0.9898,0.2645480678775003,0.9244
5000,654571,86,0.05377642153229631,0.991,0.2532162792492419,0.9272
5000,654571,87,0.05085210867896096,0.992,0.2888875492189701,0.9147
5000,654571,88,0.05102140759925008,0.9922,0.2574232107079598,0.9267
5000,654571,89,0.049076806513636786,0.9934,0.2755379215243929,0.9189
5000,654571,90,0.05022619085387164,0.9918,0.257055640624875,0.9263
5000,654571,91,0.04726679899850775,0.9938,0.2568411409200839,0.927
5000,654571,92,0.04590231131104923,0.9942,0.2545885361420344,0.9282
5000,654571,93,0.04454373813600535,0.9948,0.2754864923967416,0.9221
5000,654571,94,0.04525824186743692,0.994,0.2576779534551474,0.9272
5000,654571,95,0.043229989417791076,0.995,0.26272376086777954,0.9268
5000,654571,96,0.04212631707773595,0.9946,0.25942557701275915,0.9267
5000,654571,97,0.0411652214316808,0.9948,0.25605346296681436,0.9293
5000,654571,98,0.04017795628885225,0.9946,0.2600594925093401,0.9283
5000,654571,99,0.03927335790393684,0.9956,0.27262147874911313,0.925
5000,654571,100,0.0392358651360444,0.9954,0.37323042510024124,0.8947
5000,89250,1,2.2565779038374227,0.3356,2.1308268738642626,0.2602
5000,89250,2,1.7495724194771454,0.5938,1.3188884770384157,0.6347
5000,89250,3,0.9927934773519417,0.7624,0.8323310943913277,0.7589
