training_size,seed,selected_epoch,train_loss,train_accuracy,validation_loss,validation_accuracy,generalization_gap,training_seconds,checkpoint_path
5000,654571,97,0.0383886043271409,0.996,0.25605346296681436,0.9293,0.06669999999999998,8.732057041999724,output/hypotheses/h1_training_size/h1_size_5000_seed_654571.pt
5000,89250,81,0.05384013418881973,0.9916,0.25046335605919945,0.9282,0.06340000000000001,10.009464499999012,output/hypotheses/h1_training_size/h1_size_5000_seed_89250.pt
5000,773955,99,0.03623421803806682,0.9964,0.25191351482034213,0.9285,0.06789999999999996,9.515973292000126,output/hypotheses/h1_training_size/h1_size_5000_seed_773955.pt
10000,654571,99,0.02137241276292251,0.9989,0.16609176098890913,0.9536,0.04530000000000001,12.481002416998308,output/hypotheses/h1_training_size/h1_size_10000_seed_654571.pt
10000,89250,95,0.02275013145251113,0.998,0.16246943065382097,0.954,0.04400000000000004,9.228733042000385,output/hypotheses/h1_training_size/h1_size_10000_seed_89250.pt
10000,773955,100,0.019599806126225347,0.999,0.1624845584468185,0.9547,0.044300000000000006,9.330687458999819,output/hypotheses/h1_training_size/h1_size_10000_seed_773955.pt
25000,654571,98,0.008624568782676614,0.99972,0.10338203883627682,0.9722,0.0275200000000001,14.905591541999456,output/hypotheses/h1_training_size/h1_size_25000_seed_654571.pt
25000,89250,100,0.008408116848296027,0.9998,0.10775904012775968,0.9709,0.028900000000000037,17.90682758299954,output/hypotheses/h1_training_size/h1_size_25000_seed_89250.pt
25000,773955,99,0.009110004860055983,0.99972,0.10433027155248699,0.9725,0.027220000000000022,18.50486875000024,output/hypotheses/h1_training_size/h1_size_25000_seed_773955.pt
50000,654571,92,0.006030923485811542,0.9998,0.07546698526381591,0.9797,0.020100000000000007,31.826722916999643,output/hypotheses/h1_training_size/h1_size_50000_seed_654571.pt
50000,89250,70,0.010326958735371787,0.99934,0.07823191858998567,0.9784,0.02093999999999996,33.847253750000164,output/hypotheses/h1_training_size/h1_size_50000_seed_89250.pt
50000,773955,91,0.006450763400127186,0.99972,0.07909522510083407,0.9795,0.020220000000000016,38.90823329199884,output/hypotheses/h1_training_size/h1_size_50000_seed_773955.pt
