Training Size,Seed,Selected Epoch,Train Accuracy,Validation Accuracy,Validation Loss,Generalization Gap
"5,000",654571,97,99.60%,92.93%,0.2561,6.67 points
"5,000",89250,81,99.16%,92.82%,0.2505,6.34 points
"5,000",773955,99,99.64%,92.85%,0.2519,6.79 points
"10,000",654571,99,99.89%,95.36%,0.1661,4.53 points
"10,000",89250,95,99.80%,95.40%,0.1625,4.40 points
"10,000",773955,100,99.90%,95.47%,0.1625,4.43 points
"25,000",654571,98,99.97%,97.22%,0.1034,2.75 points
"25,000",89250,100,99.98%,97.09%,0.1078,2.89 points
"25,000",773955,99,99.97%,97.25%,0.1043,2.72 points
"50,000",654571,92,99.98%,97.97%,0.0755,2.01 points
"50,000",89250,70,99.93%,97.84%,0.0782,2.09 points
"50,000",773955,91,99.97%,97.95%,0.0791,2.02 points
