training_size,digit,count,proportion
5000,0,499,0.0998
5000,1,581,0.1162
5000,2,486,0.0972
5000,3,533,0.1066
5000,4,506,0.1012
5000,5,452,0.0904
5000,6,481,0.0962
5000,7,500,0.1
5000,8,484,0.0968
5000,9,478,0.0956
10000,0,999,0.0999
10000,1,1117,0.1117
10000,2,1009,0.1009
10000,3,1026,0.1026
10000,4,1016,0.1016
10000,5,917,0.0917
10000,6,970,0.097
10000,7,1035,0.1035
10000,8,940,0.094
10000,9,971,0.0971
25000,0,2504,0.10016
25000,1,2829,0.11316
25000,2,2446,0.09784
25000,3,2590,0.1036
25000,4,2449,0.09796
25000,5,2266,0.09064
25000,6,2473,0.09892
25000,7,2610,0.1044
25000,8,2404,0.09616
25000,9,2429,0.09716
50000,0,4939,0.09878
50000,1,5649,0.11298
50000,2,4964,0.09928
50000,3,5131,0.10262
50000,4,4862,0.09724
50000,5,4502,0.09004
50000,6,4937,0.09874
50000,7,5205,0.1041
50000,8,4872,0.09744
50000,9,4939,0.09878
